city,date,temperature,humidity,precipitation,wind_speed,conditions,uv_index
New York,2023-02-02,73.6,52.0,0.58,11.9,Sunny,3.0
New York,2023-02-03,86.6,60.0,0.76,15.4,Rainy,6.0
New York,2023-02-04,81.2,58.0,0.0,7.6,Cloudy,1.0
New York,2023-02-05,77.4,54.0,0.0,16.3,Sunny,5.0
New York,2023-02-06,82.5,59.0,0.82,2.0,Cloudy,4.0
New York,2023-02-07,74.0,57.0,0.93,8.8,Rainy,8.0
New York,2023-02-08,79.8,55.0,0.0,16.0,Stormy,4.0
New York,2023-02-09,74.9,56.0,0.02,7.9,Cloudy,6.0
New York,2023-02-10,64.9,56.0,0.0,12.1,Cloudy,6.0
New York,2023-02-11,81.7,63.0,0.1,17.9,Rainy,6.0
New York,2023-02-12,73.3,53.0,0.0,7.7,Cloudy,5.0
New York,2023-02-13,79.2,57.0,0.17,5.8,Cloudy,4.0
New York,2023-02-14,102.7,57.0,0.0,18.0,Sunny,11.0
New York,2023-02-15,89.6,69.0,0.0,7.1,Cloudy,7.0
New York,2023-02-16,100.1,54.0,0.0,6.7,Rainy,5.0
New York,2023-02-17,89.1,57.0,0.23,13.2,Sunny,4.0
New York,2023-02-18,77.0,55.0,0.17,14.9,Sunny,6.0
New York,2023-02-19,71.3,52.0,0.0,13.5,Rainy,6.0
New York,2023-02-20,97.4,60.0,0.14,9.4,Cloudy,5.0
New York,2023-02-21,80.7,69.0,0.0,10.9,Sunny,3.0
New York,2023-02-22,102.5,56.0,0.87,8.3,Rainy,10.0
New York,2023-02-23,91.2,66.0,0.0,12.0,Cloudy,3.0
New York,2023-02-24,84.3,69.0,0.0,11.8,Rainy,11.0
New York,2023-02-25,78.7,64.0,0.02,17.9,Cloudy,7.0
New York,2023-02-26,71.7,54.0,0.0,1.0,Cloudy,7.0
New York,2023-02-27,88.3,67.0,0.0,2.4,Stormy,8.0
New York,2023-02-28,88.9,55.0,0.0,11.7,Sunny,9.0
New York,2023-03-01,86.5,55.0,0.0,11.3,Sunny,6.0
New York,2023-03-02,92.3,65.0,0.0,16.4,Rainy,4.0
New York,2023-03-03,85.7,50.0,1.22,22.1,Cloudy,4.0
New York,2023-03-04,79.2,66.0,0.0,16.0,Rainy,7.0
New York,2023-03-05,92.1,63.0,0.17,3.5,Cloudy,7.0
New York,2023-03-06,81.8,59.0,0.03,20.1,Sunny,5.0
New York,2023-03-07,76.7,51.0,0.37,1.7,Sunny,7.0
New York,2023-03-08,88.7,64.0,0.14,28.0,Sunny,5.0
New York,2023-03-09,100.5,56.0,0.35,15.5,Stormy,4.0
New York,2023-03-10,69.9,62.0,0.08,13.2,Sunny,6.0
New York,2023-03-11,85.6,69.0,0.79,10.7,Stormy,6.0
New York,2023-03-12,85.6,62.0,0.0,13.0,Cloudy,5.0
New York,2023-03-13,75.9,51.0,0.72,13.1,Cloudy,5.0
New York,2023-03-14,96.9,57.0,0.06,4.6,Cloudy,9.0
New York,2023-03-15,97.0,56.0,0.0,20.2,Rainy,6.0
New York,2023-03-16,106.1,57.0,0.0,2.4,Cloudy,8.0
New York,2023-03-17,111.9,63.0,0.24,10.2,Rainy,7.0
New York,2023-03-18,79.6,62.0,0.0,5.5,Rainy,3.0
New York,2023-03-19,76.2,52.0,0.0,13.6,Cloudy,7.0
New York,2023-03-20,108.1,67.0,0.13,7.2,Sunny,0.0
New York,2023-03-21,77.9,51.0,0.37,6.8,Sunny,4.0
New York,2023-03-22,92.9,62.0,0.19,12.7,Cloudy,9.0
New York,2023-03-23,91.4,54.0,0.0,14.2,Stormy,5.0
New York,2023-03-24,79.7,51.0,0.0,11.2,Cloudy,11.0
New York,2023-03-25,90.2,57.0,0.0,6.1,Sunny,7.0
New York,2023-03-26,109.2,62.0,0.57,11.6,Sunny,8.0
New York,2023-03-27,80.7,62.0,0.0,10.8,Cloudy,7.0
New York,2023-03-28,89.6,62.0,0.0,6.9,Rainy,9.0
New York,2023-03-29,89.2,70.0,1.03,7.7,Sunny,6.0
New York,2023-03-30,97.4,57.0,0.0,6.0,Cloudy,4.0
New York,2023-03-31,86.4,50.0,0.0,13.7,Cloudy,6.0
New York,2023-04-01,88.7,68.0,0.14,10.9,Stormy,6.0
New York,2023-04-02,96.5,66.0,0.0,2.6,Cloudy,9.0
New York,2023-04-03,84.2,58.0,0.07,13.0,Cloudy,4.0
New York,2023-04-04,85.8,55.0,0.68,8.8,Stormy,7.0
New York,2023-04-05,89.2,63.0,0.38,4.2,Cloudy,5.0
New York,2023-04-06,90.3,53.0,0.02,1.6,Sunny,6.0
New York,2023-04-07,105.4,59.0,0.89,7.1,Cloudy,3.0
New York,2023-04-08,91.7,60.0,0.0,11.1,Rainy,4.0
New York,2023-04-09,71.6,67.0,0.0,2.1,Cloudy,5.0
New York,2023-04-10,76.3,66.0,0.0,11.4,Cloudy,5.0
New York,2023-04-11,80.5,65.0,0.35,10.4,Sunny,5.0
New York,2023-04-12,83.3,69.0,0.0,16.7,Rainy,2.0
New York,2023-04-13,85.1,57.0,0.36,9.1,Cloudy,6.0
New York,2023-04-14,90.9,52.0,0.28,8.5,Stormy,5.0
New York,2023-04-15,91.3,64.0,0.0,11.7,Rainy,4.0
New York,2023-04-16,91.7,65.0,0.43,9.7,Cloudy,8.0
New York,2023-04-17,84.3,68.0,0.27,4.9,Stormy,6.0
New York,2023-04-18,98.7,63.0,0.0,4.2,Sunny,3.0
New York,2023-04-19,102.9,67.0,0.0,26.2,Sunny,1.0
New York,2023-04-20,97.1,66.0,0.39,6.4,Cloudy,7.0
New York,2023-04-21,78.8,62.0,0.04,12.1,Cloudy,9.0
New York,2023-04-22,81.5,58.0,0.0,4.1,Sunny,6.0
New York,2023-04-23,100.3,53.0,0.64,12.0,Cloudy,10.0
New York,2023-04-24,99.0,54.0,0.0,20.6,Sunny,4.0
New York,2023-04-25,84.8,55.0,0.12,6.5,Rainy,3.0
New York,2023-04-26,97.3,57.0,0.28,12.1,Cloudy,5.0
New York,2023-04-27,110.3,65.0,0.95,16.6,Sunny,8.0
New York,2023-04-28,103.0,68.0,0.8,3.5,Sunny,4.0
New York,2023-04-29,86.6,67.0,0.9,9.6,Rainy,10.0
New York,2023-04-30,103.6,61.0,0.0,15.9,Cloudy,8.0
New York,2023-05-01,90.8,54.0,0.0,12.9,Cloudy,8.0
New York,2023-05-02,91.2,53.0,0.83,8.6,Cloudy,7.0
New York,2023-05-03,85.3,68.0,0.0,13.4,Sunny,8.0
New York,2023-05-04,90.7,69.0,1.41,7.7,Rainy,7.0
New York,2023-05-05,86.0,65.0,0.2,7.2,Stormy,8.0
New York,2023-05-06,100.4,66.0,0.56,13.2,Sunny,6.0
New York,2023-05-07,90.9,57.0,0.52,9.6,Sunny,7.0
New York,2023-05-08,88.5,54.0,0.67,6.8,Stormy,3.0
New York,2023-05-09,70.3,57.0,0.47,8.5,Rainy,5.0
New York,2023-05-10,79.3,52.0,0.0,17.6,Cloudy,2.0
New York,2023-05-11,91.6,57.0,0.38,13.8,Rainy,8.0
New York,2023-05-12,76.9,69.0,0.63,13.5,Stormy,9.0
New York,2023-05-13,91.3,50.0,0.0,16.2,Sunny,0.0
New York,2023-05-14,80.4,67.0,0.22,5.7,Sunny,8.0
New York,2023-05-15,88.9,54.0,0.03,14.8,Sunny,7.0
New York,2023-05-16,73.1,55.0,0.0,11.8,Stormy,4.0
New York,2023-05-17,78.1,59.0,0.49,10.9,Cloudy,1.0
New York,2023-05-18,72.8,53.0,0.0,3.7,Sunny,9.0
New York,2023-05-19,76.4,69.0,0.47,8.6,Sunny,8.0
New York,2023-05-20,87.3,69.0,0.0,6.7,Sunny,7.0
New York,2023-05-21,87.0,62.0,0.35,13.4,Cloudy,8.0
New York,2023-05-22,73.8,60.0,0.38,5.8,Sunny,4.0
New York,2023-05-23,65.4,56.0,0.63,9.0,Stormy,7.0
New York,2023-05-24,84.0,51.0,0.08,2.1,Rainy,4.0
New York,2023-05-25,75.1,67.0,0.43,2.9,Rainy,9.0
New York,2023-05-26,70.5,64.0,1.23,17.0,Sunny,4.0
New York,2023-05-27,62.7,57.0,0.09,7.8,Sunny,7.0
New York,2023-05-28,92.4,65.0,0.0,14.9,Stormy,6.0
New York,2023-05-29,73.6,64.0,0.91,17.6,Sunny,6.0
New York,2023-05-30,90.7,68.0,0.0,8.5,Cloudy,8.0
New York,2023-05-31,68.0,55.0,0.0,1.8,Cloudy,9.0
New York,2023-06-01,82.4,51.0,0.58,8.0,Cloudy,7.0
New York,2023-06-02,70.1,67.0,0.5,13.9,Rainy,6.0
New York,2023-06-03,73.7,60.0,0.0,8.3,Rainy,6.0
New York,2023-06-04,77.5,52.0,0.09,15.7,Rainy,7.0
New York,2023-06-05,62.8,68.0,0.86,8.9,Cloudy,3.0
New York,2023-06-06,74.9,54.0,0.0,14.5,Stormy,3.0
New York,2023-06-07,50.1,57.0,0.0,19.1,Sunny,5.0
New York,2023-06-08,74.9,65.0,0.18,14.6,Sunny,3.0
New York,2023-06-09,76.1,54.0,0.0,2.8,Sunny,6.0
New York,2023-06-10,74.7,58.0,0.02,11.6,Rainy,6.0
New York,2023-06-11,50.0,63.0,0.34,7.5,Cloudy,4.0
New York,2023-06-12,63.6,58.0,0.54,10.8,Sunny,9.0
New York,2023-06-13,76.9,70.0,0.21,12.3,Stormy,5.0
New York,2023-06-14,51.8,55.0,0.0,2.5,Rainy,9.0
New York,2023-06-15,60.2,67.0,0.0,16.6,Cloudy,6.0
New York,2023-06-16,76.5,63.0,0.08,0.0,Rainy,5.0
New York,2023-06-17,71.4,60.0,0.0,16.2,Rainy,2.0
New York,2023-06-18,69.0,64.0,0.0,4.2,Sunny,3.0
New York,2023-06-19,60.5,51.0,0.55,19.8,Cloudy,6.0
New York,2023-06-20,70.2,62.0,0.0,18.0,Cloudy,8.0
New York,2023-06-21,60.7,58.0,0.0,15.2,Rainy,6.0
New York,2023-06-22,80.0,63.0,0.0,11.9,Rainy,5.0
New York,2023-06-23,63.7,69.0,0.83,14.2,Rainy,6.0
New York,2023-06-24,64.1,63.0,0.0,17.1,Rainy,4.0
New York,2023-06-25,60.4,68.0,0.19,7.5,Sunny,7.0
New York,2023-06-26,69.6,70.0,0.0,12.8,Sunny,7.0
New York,2023-06-27,63.8,63.0,0.0,6.8,Stormy,4.0
New York,2023-06-28,59.0,65.0,0.0,13.6,Cloudy,5.0
New York,2023-06-29,64.7,69.0,1.17,3.4,Sunny,5.0
New York,2023-06-30,63.9,65.0,0.6,14.7,Stormy,6.0
New York,2023-07-01,57.2,52.0,0.0,4.9,Stormy,9.0
New York,2023-07-02,51.6,67.0,0.51,9.7,Cloudy,3.0
New York,2023-07-03,69.0,61.0,0.19,7.9,Cloudy,7.0
New York,2023-07-04,63.8,66.0,0.0,9.3,Rainy,4.0
New York,2023-07-05,45.7,55.0,1.03,4.5,Stormy,7.0
New York,2023-07-06,59.2,69.0,0.0,8.4,Stormy,6.0
New York,2023-07-07,59.2,60.0,0.0,9.5,Rainy,8.0
New York,2023-07-08,58.5,62.0,0.32,12.7,Rainy,5.0
New York,2023-07-09,51.8,52.0,0.72,13.7,Cloudy,6.0
New York,2023-07-10,65.4,69.0,1.87,10.6,Sunny,5.0
New York,2023-07-11,54.6,70.0,0.0,2.8,Cloudy,8.0
New York,2023-07-12,70.8,53.0,0.26,10.3,Stormy,5.0
New York,2023-07-13,48.3,54.0,0.02,9.2,Sunny,5.0
New York,2023-07-14,54.2,64.0,0.0,10.4,Stormy,5.0
New York,2023-07-15,72.3,52.0,0.03,1.9,Sunny,6.0
New York,2023-07-16,56.3,61.0,0.11,7.8,Cloudy,4.0
New York,2023-07-17,50.3,54.0,0.17,10.0,Sunny,3.0
New York,2023-07-18,41.0,69.0,0.0,8.6,Sunny,5.0
New York,2023-07-19,55.2,53.0,0.0,9.1,Sunny,5.0
New York,2023-07-20,40.7,70.0,0.0,10.8,Stormy,6.0
New York,2023-07-21,63.7,51.0,0.56,15.1,Rainy,9.0
New York,2023-07-22,46.1,56.0,0.84,1.9,Cloudy,3.0
New York,2023-07-23,44.8,58.0,0.0,12.8,Sunny,5.0
New York,2023-07-24,34.8,50.0,0.0,7.1,Cloudy,6.0
New York,2023-07-25,46.6,64.0,0.38,12.9,Sunny,9.0
New York,2023-07-26,36.2,59.0,0.0,12.0,Rainy,5.0
New York,2023-07-27,57.7,58.0,0.0,15.8,Cloudy,5.0
New York,2023-07-28,49.9,58.0,0.65,18.1,Rainy,9.0
New York,2023-07-29,41.9,60.0,0.15,3.6,Cloudy,6.0
New York,2023-07-30,41.9,54.0,0.52,2.5,Sunny,8.0
New York,2023-07-31,30.3,68.0,0.0,7.3,Cloudy,5.0
New York,2023-08-01,49.8,69.0,0.0,9.1,Sunny,6.0
New York,2023-08-02,45.5,51.0,0.68,8.2,Cloudy,5.0
New York,2023-08-03,44.7,52.0,0.42,5.3,Cloudy,7.0
New York,2023-08-04,61.3,68.0,0.34,9.7,Sunny,9.0
New York,2023-08-05,43.1,56.0,0.05,10.5,Sunny,4.0
New York,2023-08-06,40.5,66.0,0.42,1.2,Sunny,4.0
New York,2023-08-07,30.4,62.0,0.56,12.3,Sunny,6.0
New York,2023-08-08,46.3,65.0,0.21,1.4,Rainy,8.0
New York,2023-08-09,42.4,59.0,0.0,5.2,Rainy,5.0
New York,2023-08-10,46.7,61.0,0.0,3.5,Sunny,6.0
New York,2023-08-11,42.6,60.0,0.2,11.4,Sunny,1.0
New York,2023-08-12,34.2,69.0,0.0,20.1,Cloudy,6.0
New York,2023-08-13,63.5,66.0,0.51,11.7,Sunny,7.0
New York,2023-08-14,47.4,61.0,0.14,3.5,Rainy,3.0
New York,2023-08-15,23.4,68.0,0.0,6.3,Sunny,8.0
New York,2023-08-16,27.6,56.0,0.09,9.0,Sunny,7.0
New York,2023-08-17,39.5,61.0,0.02,11.5,Stormy,7.0
New York,2023-08-18,45.8,58.0,0.27,8.0,Cloudy,5.0
New York,2023-08-19,50.8,53.0,0.0,13.2,Cloudy,2.0
New York,2023-08-20,24.6,65.0,0.0,2.1,Sunny,9.0
New York,2023-08-21,33.6,59.0,0.87,4.8,Cloudy,8.0
New York,2023-08-22,32.4,63.0,0.54,9.5,Sunny,6.0
New York,2023-08-23,22.5,68.0,0.04,6.9,Cloudy,5.0
New York,2023-08-24,30.9,67.0,0.0,14.1,Sunny,6.0
New York,2023-08-25,19.0,52.0,0.0,3.6,Sunny,8.0
New York,2023-08-26,27.2,62.0,1.07,13.0,Stormy,9.0
New York,2023-08-27,25.2,57.0,0.73,7.8,Rainy,8.0
New York,2023-08-28,32.0,52.0,0.0,14.3,Sunny,8.0
New York,2023-08-29,42.4,61.0,0.0,10.0,Sunny,9.0
New York,2023-08-30,25.4,52.0,0.0,2.7,Rainy,6.0
New York,2023-08-31,25.9,68.0,0.95,14.6,Stormy,8.0
New York,2023-09-01,49.8,59.0,0.0,2.2,Stormy,7.0
New York,2023-09-02,26.2,50.0,0.18,19.6,Sunny,4.0
New York,2023-09-03,43.5,61.0,0.28,11.5,Cloudy,5.0
New York,2023-09-04,31.3,68.0,0.51,7.3,Cloudy,8.0
New York,2023-09-05,42.5,59.0,0.29,10.1,Sunny,3.0
New York,2023-09-06,20.3,60.0,0.49,4.7,Sunny,4.0
New York,2023-09-07,19.7,69.0,0.5,3.5,Rainy,7.0
New York,2023-09-08,39.1,59.0,0.0,4.0,Sunny,7.0
New York,2023-09-09,27.2,57.0,0.23,11.2,Sunny,8.0
New York,2023-09-10,38.1,65.0,0.0,7.9,Rainy,8.0
New York,2023-09-11,32.1,59.0,0.0,11.5,Rainy,8.0
New York,2023-09-12,41.8,66.0,0.0,17.8,Sunny,6.0
New York,2023-09-13,23.9,65.0,0.16,0.8,Rainy,4.0
New York,2023-09-14,24.6,67.0,0.47,15.9,Sunny,2.0
New York,2023-09-15,36.5,63.0,0.09,15.4,Sunny,4.0
New York,2023-09-16,27.1,60.0,0.17,13.1,Cloudy,4.0
New York,2023-09-17,26.7,64.0,0.0,11.6,Sunny,5.0
New York,2023-09-18,40.4,59.0,0.49,16.2,Cloudy,7.0
New York,2023-09-19,46.9,55.0,0.27,7.7,Cloudy,4.0
New York,2023-09-20,24.5,52.0,0.12,8.8,Rainy,7.0
New York,2023-09-21,36.8,66.0,0.66,2.2,Stormy,6.0
New York,2023-09-22,25.6,64.0,0.0,17.5,Cloudy,8.0
New York,2023-09-23,19.2,63.0,0.0,8.2,Stormy,6.0
New York,2023-09-24,41.5,50.0,0.82,7.1,Sunny,8.0
New York,2023-09-25,34.4,54.0,0.0,7.6,Rainy,6.0
New York,2023-09-26,34.3,69.0,0.45,10.6,Sunny,7.0
New York,2023-09-27,20.0,63.0,0.04,11.5,Cloudy,7.0
New York,2023-09-28,16.2,57.0,0.06,10.2,Rainy,5.0
New York,2023-09-29,34.3,58.0,0.13,18.4,Cloudy,4.0
New York,2023-09-30,33.5,58.0,1.17,3.8,Cloudy,7.0
New York,2023-10-01,16.6,56.0,0.54,7.3,Sunny,7.0
New York,2023-10-02,39.0,64.0,0.0,10.3,Cloudy,4.0
New York,2023-10-03,46.7,63.0,0.0,3.8,Sunny,6.0
New York,2023-10-04,16.2,61.0,0.38,13.4,Rainy,9.0
New York,2023-10-05,29.7,58.0,0.0,6.7,Cloudy,9.0
New York,2023-10-06,39.6,56.0,0.0,18.7,Cloudy,7.0
New York,2023-10-07,34.3,63.0,0.0,6.7,Sunny,4.0
New York,2023-10-08,15.7,55.0,0.44,21.0,Sunny,6.0
New York,2023-10-09,21.2,59.0,0.59,10.1,Stormy,9.0
New York,2023-10-10,28.9,68.0,0.0,14.9,Sunny,9.0
New York,2023-10-11,35.1,55.0,0.0,2.2,Cloudy,4.0
New York,2023-10-12,35.4,55.0,0.21,5.6,Sunny,7.0
New York,2023-10-13,23.4,55.0,1.29,16.8,Sunny,2.0
New York,2023-10-14,59.4,58.0,0.67,13.8,Sunny,9.0
New York,2023-10-15,19.1,61.0,0.0,13.7,Sunny,3.0
New York,2023-10-16,39.2,70.0,0.52,15.9,Rainy,10.0
New York,2023-10-17,43.8,70.0,0.3,1.0,Sunny,6.0
New York,2023-10-18,40.0,56.0,0.0,3.2,Sunny,7.0
New York,2023-10-19,20.1,59.0,0.0,4.3,Rainy,8.0
New York,2023-10-20,42.9,63.0,0.0,5.4,Sunny,8.0
New York,2023-10-21,31.2,70.0,0.43,0.7,Sunny,5.0
New York,2023-10-22,38.3,70.0,0.33,11.3,Sunny,6.0
New York,2023-10-23,42.8,57.0,0.0,0.4,Sunny,6.0
New York,2023-10-24,16.4,56.0,0.0,10.5,Rainy,5.0
New York,2023-10-25,48.6,69.0,0.71,8.5,Rainy,10.0
New York,2023-10-26,41.6,52.0,0.32,10.3,Sunny,10.0
New York,2023-10-27,36.1,64.0,0.46,5.1,Rainy,4.0
New York,2023-10-28,38.2,70.0,0.0,17.2,Cloudy,8.0
New York,2023-10-29,10.8,53.0,0.59,18.3,Cloudy,6.0
New York,2023-10-30,35.2,50.0,0.09,7.3,Sunny,6.0
New York,2023-10-31,30.3,54.0,0.74,4.2,Cloudy,6.0
New York,2023-11-01,37.3,62.0,0.38,15.6,Stormy,4.0
New York,2023-11-02,24.2,59.0,0.25,13.3,Sunny,5.0
New York,2023-11-03,31.3,60.0,0.59,9.3,Sunny,4.0
New York,2023-11-04,34.2,62.0,1.59,6.8,Sunny,9.0
New York,2023-11-05,44.5,62.0,0.0,11.0,Sunny,6.0
New York,2023-11-06,35.3,57.0,0.0,3.3,Cloudy,6.0
New York,2023-11-07,38.1,65.0,0.09,22.1,Sunny,6.0
New York,2023-11-08,46.2,57.0,1.13,13.5,Cloudy,7.0
New York,2023-11-09,59.6,62.0,0.0,6.5,Cloudy,7.0
New York,2023-11-10,49.3,65.0,1.21,9.1,Rainy,9.0
New York,2023-11-11,31.7,65.0,0.0,12.4,Cloudy,8.0
New York,2023-11-12,37.4,69.0,0.73,18.4,Sunny,4.0
New York,2023-11-13,54.4,65.0,0.0,8.4,Rainy,3.0
New York,2023-11-14,36.9,65.0,0.28,14.5,Sunny,3.0
New York,2023-11-15,18.4,64.0,0.15,5.1,Cloudy,5.0
New York,2023-11-16,33.1,68.0,0.0,13.3,Cloudy,6.0
New York,2023-11-17,18.0,59.0,0.14,12.9,Cloudy,3.0
New York,2023-11-18,33.4,68.0,0.99,8.7,Stormy,8.0
New York,2023-11-19,40.3,59.0,0.0,8.0,Sunny,4.0
New York,2023-11-20,39.6,56.0,0.0,9.5,Cloudy,7.0
New York,2023-11-21,41.9,52.0,0.0,3.8,Sunny,5.0
New York,2023-11-22,58.1,52.0,0.01,9.6,Cloudy,7.0
New York,2023-11-23,56.8,70.0,0.0,16.2,Rainy,7.0
New York,2023-11-24,10.5,69.0,0.02,8.8,Cloudy,6.0
New York,2023-11-25,43.2,64.0,0.0,6.3,Rainy,10.0
New York,2023-11-26,39.0,56.0,0.66,15.0,Sunny,4.0
New York,2023-11-27,32.9,70.0,0.13,13.9,Cloudy,8.0
New York,2023-11-28,40.7,54.0,0.0,14.2,Rainy,3.0
New York,2023-11-29,38.6,64.0,0.19,10.9,Rainy,7.0
New York,2023-11-30,26.8,64.0,0.0,16.2,Cloudy,10.0
New York,2023-12-01,48.5,61.0,0.0,12.9,Cloudy,7.0
New York,2023-12-02,30.7,65.0,0.0,27.6,Stormy,9.0
New York,2023-12-03,38.2,59.0,0.0,4.5,Stormy,5.0
New York,2023-12-04,46.7,56.0,0.04,6.8,Cloudy,8.0
New York,2023-12-05,14.5,55.0,0.0,19.3,Cloudy,5.0
New York,2023-12-06,50.9,60.0,0.0,15.1,Sunny,7.0
New York,2023-12-07,30.1,54.0,0.0,15.2,Sunny,4.0
New York,2023-12-08,55.1,59.0,0.3,2.8,Cloudy,5.0
New York,2023-12-09,67.3,67.0,0.0,7.5,Sunny,5.0
New York,2023-12-10,58.9,50.0,0.0,13.7,Cloudy,10.0
New York,2023-12-11,35.6,68.0,0.12,18.0,Rainy,8.0
New York,2023-12-12,62.5,58.0,0.0,4.5,Cloudy,7.0
New York,2023-12-13,61.1,53.0,0.1,8.2,Rainy,4.0
New York,2023-12-14,49.2,55.0,0.0,5.9,Sunny,5.0
New York,2023-12-15,46.2,66.0,0.35,14.8,Sunny,4.0
New York,2023-12-16,57.5,65.0,0.76,7.4,Cloudy,6.0
New York,2023-12-17,64.6,55.0,0.0,20.2,Sunny,4.0
New York,2023-12-18,40.3,56.0,0.0,10.8,Rainy,8.0
New York,2023-12-19,56.6,61.0,0.0,7.7,Cloudy,9.0
New York,2023-12-20,51.2,56.0,0.0,14.8,Rainy,8.0
New York,2023-12-21,57.0,61.0,1.02,10.9,Sunny,7.0
New York,2023-12-22,56.6,67.0,0.88,4.7,Sunny,3.0
New York,2023-12-23,67.8,62.0,0.31,12.5,Sunny,2.0
New York,2023-12-24,44.4,57.0,0.88,14.4,Cloudy,8.0
New York,2023-12-25,58.1,54.0,0.4,15.2,Stormy,5.0
New York,2023-12-26,65.5,62.0,1.37,3.5,Sunny,4.0
New York,2023-12-27,54.4,60.0,0.0,19.0,Sunny,2.0
New York,2023-12-28,55.7,58.0,0.6,7.6,Sunny,5.0
New York,2023-12-29,54.3,51.0,0.41,12.4,Sunny,0.0
New York,2023-12-30,48.1,57.0,0.0,5.6,Cloudy,4.0
New York,2023-12-31,34.6,51.0,0.0,4.7,Rainy,11.0
Los Angeles,2023-01-01,65.4,55.0,0.26,4.7,Cloudy,4.0
Los Angeles,2023-01-02,56.9,68.0,0.91,6.6,Sunny,4.0
Los Angeles,2023-01-03,44.0,69.0,0.0,3.7,Cloudy,4.0
Los Angeles,2023-01-04,74.8,64.0,0.0,14.7,Cloudy,7.0
Los Angeles,2023-01-05,56.0,63.0,0.53,9.9,Sunny,8.0
Los Angeles,2023-01-06,65.1,53.0,0.33,10.8,Cloudy,7.0
Los Angeles,2023-01-07,65.1,65.0,0.0,16.9,Sunny,6.0
Los Angeles,2023-01-08,73.9,54.0,0.15,3.3,Rainy,7.0
Los Angeles,2023-01-09,59.6,57.0,0.38,12.8,Sunny,6.0
Los Angeles,2023-01-10,63.0,65.0,1.06,3.4,Sunny,3.0
Los Angeles,2023-01-11,60.8,59.0,0.4,12.9,Sunny,6.0
Los Angeles,2023-01-12,81.0,69.0,0.2,5.3,Rainy,4.0
Los Angeles,2023-01-13,64.4,58.0,0.22,13.7,Stormy,5.0
Los Angeles,2023-01-14,62.9,63.0,0.16,13.6,Sunny,7.0
Los Angeles,2023-01-15,64.7,66.0,0.28,11.7,Cloudy,7.0
Los Angeles,2023-01-16,71.2,58.0,0.27,14.2,Rainy,4.0
Los Angeles,2023-01-17,71.6,64.0,0.44,10.5,Sunny,5.0
Los Angeles,2023-01-18,81.3,70.0,0.42,15.0,Sunny,6.0
Los Angeles,2023-01-19,62.8,58.0,0.0,10.0,Sunny,4.0
Los Angeles,2023-01-20,92.2,62.0,0.0,13.2,Cloudy,6.0
Los Angeles,2023-01-21,77.1,68.0,0.64,12.4,Cloudy,8.0
Los Angeles,2023-01-22,64.4,53.0,1.37,7.1,Sunny,6.0
Los Angeles,2023-01-23,76.0,50.0,0.0,12.5,Sunny,6.0
Los Angeles,2023-01-24,70.7,52.0,0.61,7.4,Rainy,8.0
Los Angeles,2023-01-25,62.9,69.0,0.32,5.2,Cloudy,3.0
Los Angeles,2023-01-26,85.6,66.0,0.48,10.1,Rainy,6.0
